global_rank,domain,category,primary_market,monthly_visits,bounce_rate_pct,avg_session_duration_s,stickiness_index,last_crawled
44,e2ro.com,Social,GB,145597942,34.43,474.65,22.98,07/02/2026
45,youtu.be,News,IN,147816685,39.64,435.48,18.31,07/02/2026
46,icloud.com,Search,BR,159710170,39.79,138,5.78,07/02/2026
47,sharepoint.com,Search,DE,151090731,49.66,134.57,4.52,07/02/2026
48,pinterest.com,Finance,DE,172362276,57.55,405.68,11.75,07/02/2026
49,trafficmanager.net,E-commerce,DE,123203308,46.02,456.76,16.54,07/02/2026
50,ripn.net,Finance,BR,143340973,50.78,265.42,8.71,07/02/2026
51,whatsapp.com,Social,JP,121938978,49.63,144.54,4.85,07/02/2026
52,yahoo.com,News,BR,134085268,52.04,377.63,12.09,07/02/2026
53,akam.net,Finance,JP,158009610,56.85,345.89,10.14,07/02/2026
54,windows.net,E-commerce,US,109356676,47.32,280.79,9.89,07/02/2026
55,googlesyndication.com,Search,JP,159796890,46.18,110.44,3.99,07/02/2026
56,goo.gl,Finance,US,149796748,33.91,431.92,21.23,07/02/2026
57,skype.com,Streaming,JP,136821594,15.38,1673.56,181.36,07/02/2026
58,x.com,News,IN,124554412,45.43,296.04,10.86,07/02/2026
59,msn.com,Streaming,JP,143715077,21.64,1349.21,103.91,07/02/2026
60,gandi.net,News,GB,146979299,38.69,546.55,23.54,07/02/2026
61,spotify.com,E-commerce,GB,106910304,35.2,228.58,10.82,07/02/2026
62,pv-cdn.net,Finance,IN,123518820,45.21,482.38,17.78,07/02/2026
63,cloudfront.net,Tech,IN,137657450,30.03,171.03,9.49,07/02/2026
64,ntp.org,Tech,BR,144269671,50.87,299.24,9.8,07/02/2026
65,tiktok.com,Streaming,BR,125382903,24.27,2302.81,158.14,07/02/2026
66,vimeo.com,News,US,104760228,52.55,485.37,15.39,07/02/2026
67,tiktokcdn.com,E-commerce,BR,133067330,49.68,320.69,10.76,07/02/2026
68,adobe.com,Streaming,JP,116553823,23.92,1724.93,120.19,07/02/2026
69,cloudflare.net,Social,BR,114127938,46.8,330.23,11.76,07/02/2026
70,roblox.com,Search,BR,138014671,43.66,129.82,4.96,07/02/2026
71,gvt2.com,Search,IN,119251379,40.63,148.43,6.09,07/02/2026
72,gvt1.com,Search,US,127396807,46.75,178.92,6.38,07/02/2026
73,googledomains.com,Search,US,96865454,36.91,174.56,7.88,07/02/2026
74,yandex.net,Search,JP,110007516,40.97,121.7,4.95,07/02/2026
75,ytimg.com,Finance,IN,105210092,53.32,226.41,7.08,07/02/2026
76,tiktokv.com,Social,JP,102276655,51.04,505.15,16.5,07/02/2026
77,nic.ru,News,DE,101068570,36.49,313.01,14.3,07/02/2026
78,wa.me,Finance,IN,92099550,57.7,564.57,16.31,07/02/2026
79,zoom.us,Search,US,134286769,37.38,132.16,5.89,07/02/2026
80,google-analytics.com,E-commerce,IN,93811453,46.2,572.61,20.66,07/02/2026
81,office365.com,Streaming,JP,89571837,28.61,1110.63,64.7,07/02/2026
82,qq.com,Social,JP,99022170,39.38,305.37,12.92,07/02/2026
83,cloudflare-dns.com,Streaming,GB,94714232,23.43,1354.54,96.35,07/02/2026
84,edgekey.net,Streaming,GB,105263198,27.55,1253.81,75.85,07/02/2026
85,nginx.org,E-commerce,US,107720659,30.51,336.79,18.4,07/02/2026
86,opera.com,Finance,BR,93228957,52.39,265.78,8.46,07/02/2026
87,yandex.ru,Tech,IN,114905672,51.25,502.04,16.33,07/02/2026
88,root-servers.net,Social,JP,96115886,31.53,517.17,27.34,07/02/2026
89,samsung.com,News,IN,87374725,37.56,450.89,20.01,07/02/2026
90,bit.ly,Tech,US,126027496,55.39,592.64,17.83,07/02/2026
91,vedcdnlb.com,Tech,BR,107839816,44.19,583.93,22.02,07/02/2026
92,baidu.com,Finance,BR,115517550,32.81,206.89,10.51,07/02/2026
93,edgesuite.net,News,BR,103071215,47.94,520.98,18.11,07/02/2026
94,nginx.com,Search,IN,116860451,49.79,142.56,4.77,07/02/2026
95,wordpress.com,Streaming,BR,110731363,17.59,797.37,75.55,07/02/2026
96,okcdn.ru,Social,GB,81730122,34.77,200.43,9.61,07/02/2026
97,ui.com,E-commerce,US,108152824,42.64,416.24,16.27,07/02/2026
98,sentry.io,Tech,BR,82010552,33.18,124.17,6.24,07/02/2026
99,unity3d.com,Streaming,BR,104101893,16.57,2054.85,206.68,07/02/2026
100,windows.com,Search,GB,111540216,36.97,134.58,6.07,07/02/2026
101,t-msedge.net,Tech,BR,108946965,30.56,493.74,26.93,07/02/2026
102,mozilla.org,Finance,DE,81766226,33.26,438.97,22,07/02/2026
103,intuit.com,Tech,IN,98260992,52.6,593.37,18.8,07/02/2026
104,reddit.com,Streaming,DE,102300667,16.4,884.62,89.9,07/02/2026
105,a2z.com,Streaming,GB,90806819,19.48,660.99,56.55,07/02/2026
106,googleadservices.com,E-commerce,US,100469582,36.23,480.1,22.09,07/02/2026
107,paypal.com,News,US,113740398,49.48,442.36,14.9,07/02/2026
108,cdninstagram.com,Search,DE,107737440,36.34,74.95,3.44,07/02/2026
109,vk.com,E-commerce,JP,102811924,44.15,394.86,14.91,07/02/2026
110,blogspot.com,Social,US,105076413,57.54,315.52,9.14,07/02/2026
111,discord.gg,Search,JP,87350610,41.82,160.69,6.4,07/02/2026
112,t.me,Tech,JP,85164945,40.73,266.57,10.91,07/02/2026
113,europa.eu,Finance,BR,94196062,50.59,328.1,10.81,07/02/2026
114,snapchat.com,Streaming,BR,102229724,23.22,1344.13,96.48,07/02/2026
115,bytefcdn-oversea.com,Finance,GB,82562944,32.65,586.57,29.94,07/02/2026
116,dns.google,News,IN,84036980,44.09,534.14,20.19,07/02/2026
117,epicgames.com,Tech,US,87732685,54.26,259.79,7.98,07/02/2026
118,ax-msedge.net,E-commerce,DE,106855334,52.24,237.07,7.56,07/02/2026
119,dnsowl.com,News,US,102010416,54.44,191.8,5.87,07/02/2026
120,app-measurement.com,Streaming,JP,100874702,21.07,2293.23,181.4,07/02/2026
121,amazon-adsystem.com,News,JP,90685661,30.32,516.33,28.38,07/02/2026
122,github.io,Social,US,74131049,52.02,518.06,16.6,07/02/2026
123,apache.org,Tech,GB,93353171,54.46,496.48,15.19,07/02/2026
124,cloud.microsoft,Finance,US,99289937,49.68,521.41,17.49,07/02/2026
125,amazon.dev,Social,BR,93268540,30.96,593.73,31.96,07/02/2026
126,gravatar.com,Finance,IN,87832371,46.34,494.84,17.8,07/02/2026
127,outlook.com,E-commerce,IN,97097740,46.63,316.16,11.3,07/02/2026
128,dropbox.com,Search,DE,96974937,44.17,121.27,4.58,07/02/2026
129,pki.goog,E-commerce,IN,75095541,35.85,139.83,6.5,07/02/2026
130,amazonvideo.com,Streaming,DE,93055959,17.34,2332.82,224.22,07/02/2026
131,msftncsi.com,Tech,BR,73954831,49.8,244.35,8.18,07/02/2026
132,vecdnlb.com,Finance,BR,102807857,40.2,439.36,18.22,07/02/2026
133,trbcdn.net,Social,GB,97691027,45.05,569.73,21.08,07/02/2026
134,steamserver.net,News,DE,98807122,55.45,187.69,5.64,07/02/2026
135,app-analytics-services.com,E-commerce,IN,101281492,37.43,293.53,13.07,07/02/2026
136,xiaomi.com,Tech,IN,94085018,38.79,516.14,22.18,07/02/2026
137,mulesoft.com,Search,IN,75346263,47.13,152.65,5.4,07/02/2026
138,criteo.com,Streaming,US,100769164,25.47,1138.8,74.52,07/02/2026
139,wac-msedge.net,Search,GB,93712033,43.75,129.88,4.95,07/02/2026
140,one.one,Tech,US,93650671,58.01,315.19,9.06,07/02/2026
141,archive.org,Finance,US,94494711,59.43,400.3,11.23,07/02/2026
142,nih.gov,Finance,IN,73399062,51.14,275.83,8.99,07/02/2026
143,applovin.com,E-commerce,GB,82831056,50.14,274.41,9.12,07/02/2026
144,b-cdn.net,Tech,IN,94313297,41.6,453.93,18.19,07/02/2026
145,0xrpc.io,E-commerce,JP,67082139,42.44,556.75,21.86,07/02/2026
146,forms.gle,Finance,US,73708457,39.71,323.48,13.58,07/02/2026
147,registrar-servers.com,Search,DE,88259734,41.71,135.95,5.43,07/02/2026
148,miit.gov.cn,Finance,DE,80723088,59.83,387.42,10.79,07/02/2026
149,f5.com,E-commerce,DE,89337385,36.07,337.44,15.59,07/02/2026
150,tumblr.com,Social,US,90829151,48.46,319.84,11,07/02/2026
151,kaspersky.com,Finance,US,70398260,55.44,225.83,6.79,07/02/2026
152,msftconnecttest.com,Streaming,US,94602613,18.26,1681.76,153.5,07/02/2026
153,ggpht.com,Search,DE,91840643,39.34,169.03,7.16,07/02/2026
154,nytimes.com,Tech,IN,69980777,56.04,493.42,14.67,07/02/2026
155,cdn77.org,Streaming,GB,92802332,20.42,1802.11,147.09,07/02/2026
156,spo-msedge.net,Tech,GB,93374866,45.84,296.98,10.8,07/02/2026
157,reg.ru,Search,IN,79028813,39.73,107,4.49,07/02/2026
158,3gppnetwork.org,E-commerce,GB,84622593,57.84,579.93,16.71,07/02/2026
159,tiktokcdn-us.com,E-commerce,BR,77172646,47.74,286.34,10,07/02/2026
160,aliyuncs.com,News,JP,75032492,49.19,267.08,9.05,07/02/2026
161,chatgpt.com,Streaming,DE,86203546,15.22,652.52,71.45,07/02/2026
162,cncdn.com,Social,US,70937123,53.14,343.67,10.78,07/02/2026
163,aws.dev,Tech,DE,86802430,59.31,207.94,5.84,07/02/2026
164,macromedia.com,Tech,IN,82992471,45.37,474.84,17.44,07/02/2026
165,vkuserphoto.ru,Search,GB,85497322,45.7,74.37,2.71,07/02/2026
166,discord.com,Search,BR,88482082,43.24,157.88,6.09,07/02/2026
167,shopify.com,E-commerce,GB,84258715,39.93,599.09,25.01,07/02/2026
168,telekom.de,Finance,JP,66044715,34.11,208.39,10.18,07/02/2026
169,flickr.com,News,US,67228239,32.12,343.28,17.81,07/02/2026
170,cdn-apple.com,E-commerce,DE,72588751,54.95,222.7,6.75,07/02/2026
171,godaddy.com,News,IN,74572032,51.81,218.88,7.04,07/02/2026
172,adobe.io,Search,IN,66669659,43.65,101.09,3.86,07/02/2026
173,soundcloud.com,Social,GB,90088308,40.43,444.53,18.33,07/02/2026
174,userapi.com,News,IN,89665455,49.2,542.62,18.38,07/02/2026
175,azurefd.net,Finance,IN,74921806,35.16,204.82,9.71,07/02/2026
176,spov-msedge.net,Search,GB,87530469,42.65,116.49,4.55,07/02/2026
177,mailinabox.email,News,IN,77350930,42.72,392.62,15.32,07/02/2026
178,lencr.org,Search,DE,71501837,47.32,145.04,5.11,07/02/2026
179,adnxs.com,E-commerce,JP,79291404,58.9,434.47,12.29,07/02/2026
180,rubiconproject.com,Streaming,DE,71891587,27.52,2095.5,126.91,07/02/2026
181,medium.com,Social,DE,86479776,58.51,393.06,11.2,07/02/2026
182,cnn.com,Search,GB,79163513,45.95,174.46,6.33,07/02/2026
183,vungle.com,Streaming,IN,72973753,24.79,2358.36,158.56,07/02/2026
184,w3.org,Search,BR,63167428,37.16,74.3,3.33,07/02/2026
185,example.com,Tech,GB,83150654,58.08,463.09,13.29,07/02/2026
186,avast.com,Social,DE,65197279,36.2,536.86,24.72,07/02/2026
187,msedge.net,Streaming,GB,67416079,25.98,1422.93,91.28,07/02/2026
188,azurewebsites.net,Finance,IN,63649570,55.38,154.82,4.66,07/02/2026
189,shifen.com,Streaming,JP,62168935,29.62,2208.38,124.26,07/02/2026
190,nist.gov,Search,BR,75512992,49.22,116.92,3.96,07/02/2026
191,taboola.com,Tech,DE,84742809,32.32,384.72,19.84,07/02/2026
192,theguardian.com,Finance,IN,67303701,37.04,298.64,13.44,07/02/2026
193,mts.ru,Finance,JP,59320013,55.54,284.09,8.53,07/02/2026
194,ttdns2.com,Streaming,JP,68903889,26.19,1961.65,124.83,07/02/2026
195,miui.com,News,GB,61765051,52.56,565.25,17.92,07/02/2026
196,webex.com,E-commerce,GB,62540895,59.39,300.25,8.43,07/02/2026
197,playstation.net,Streaming,JP,73358531,25.63,1947.76,126.66,07/02/2026
198,nflxso.net,E-commerce,IN,79327672,48.98,203.04,6.91,07/02/2026
199,creativecommons.org,E-commerce,GB,73990984,52.26,194.92,6.22,07/02/2026
200,forbes.com,Search,JP,69907316,45.86,67.8,2.46,07/02/2026
201,nominetdns.uk,Finance,IN,74100273,56.45,503.95,14.88,07/02/2026
202,adtrafficquality.google,Finance,GB,77974384,47.13,429.02,15.17,07/02/2026
203,t.co,Tech,DE,75899825,47.27,122.28,4.31,07/02/2026
204,pubmatic.com,News,BR,56139777,37.16,399.02,17.9,07/02/2026
205,twitch.tv,Finance,DE,69516463,34.38,213.42,10.35,07/02/2026
206,azureedge.net,Finance,JP,57581820,39.63,393.82,16.56,07/02/2026
207,ozon.ru,E-commerce,GB,80956836,50.95,302.51,9.9,07/02/2026
208,wildberries.ru,Streaming,JP,63389593,17.29,711.04,68.54,07/02/2026
209,bbc.com,E-commerce,GB,74587866,58.82,558.36,15.82,07/02/2026
210,myfritz.net,E-commerce,JP,75124395,57.16,223.74,6.52,07/02/2026
211,bbc.co.uk,Search,GB,80579642,45.23,161.24,5.94,07/02/2026
212,uber.com,News,US,67216815,57.28,359.09,10.45,07/02/2026
213,sourceforge.net,Streaming,BR,59557938,25.08,2011.82,133.69,07/02/2026
214,sciencedirect.com,News,DE,78474920,37.87,416.35,18.32,07/02/2026
215,oracle.com,Social,BR,73940067,34.32,555.27,26.97,07/02/2026
216,mangosip.ru,Tech,IN,77171597,47.42,451.09,15.85,07/02/2026
217,researchgate.net,E-commerce,IN,68188112,36.89,205.55,9.29,07/02/2026
218,mit.edu,Search,GB,57724378,37.18,102.97,4.62,07/02/2026
219,ubuntu.com,Search,JP,56532946,47.1,89.85,3.18,07/02/2026
220,weather.com,Social,IN,72600962,57.92,384.08,11.05,07/02/2026
221,gmail.com,E-commerce,BR,54023616,49.19,210.17,7.12,07/02/2026
222,salesforce.com,E-commerce,DE,74136162,50.78,326.6,10.72,07/02/2026
223,canva.com,Search,GB,72008435,41.17,117.15,4.74,07/02/2026
224,cpanel.net,Finance,US,70512608,56.91,545.14,15.96,07/02/2026
225,cisco.com,Finance,IN,74964823,47.03,233.77,8.28,07/02/2026
226,doi.org,Tech,US,61601492,54.59,451.03,13.77,07/02/2026
227,adsrvr.org,Social,US,54812580,44.89,546.47,20.29,07/02/2026
228,ebay.com,News,JP,75626788,39.64,377.89,15.89,07/02/2026
229,comcast.net,Search,JP,53693304,35.6,145.68,6.82,07/02/2026
230,demdex.net,Streaming,BR,62360824,16.96,812.93,79.89,07/02/2026
231,wsdvs.com,E-commerce,US,78084065,45.47,505.73,18.54,07/02/2026
232,roku.com,Search,BR,74366832,40.21,176.08,7.3,07/02/2026
233,android.com,Finance,US,58893584,42.74,432.5,16.87,07/02/2026
234,akamaized.net,Search,BR,57026967,41.79,111.93,4.46,07/02/2026
235,alibabadns.com,Finance,BR,66748842,50.82,277.63,9.11,07/02/2026
236,youtube-nocookie.com,Finance,IN,75044454,40.72,498.09,20.39,07/02/2026
237,imdb.com,Tech,JP,66402837,43.33,435.52,16.75,07/02/2026
238,scorecardresearch.com,Tech,JP,63760566,46.36,227.74,8.19,07/02/2026
239,static.microsoft,Streaming,GB,71432193,21.14,1107.72,87.33,07/02/2026
240,jomodns.com,Finance,BR,76371842,44.87,318.4,11.83,07/02/2026
241,dual-s-msedge.net,Search,DE,70236426,41.43,117.06,4.71,07/02/2026
242,casalemedia.com,Search,US,52210921,36.46,117.26,5.36,07/02/2026
243,edgecdn.ru,Finance,DE,61235821,38.98,239.82,10.25,07/02/2026
244,meraki.com,Search,JP,51316911,45.74,75.57,2.75,07/02/2026
245,linktr.ee,News,DE,67590353,43.06,255.65,9.9,07/02/2026
246,wixsite.com,E-commerce,BR,54460729,39.16,454.76,19.35,07/02/2026
247,prudential.com,Finance,GB,61612014,58.92,452.94,12.81,07/02/2026
248,ksyuncdn.com,News,JP,56949652,33.39,364.97,18.22,07/02/2026
249,rocket-cdn.com,Finance,GB,72161677,57.07,504.01,14.72,07/02/2026
250,hubspot.com,Social,GB,62850267,55.12,129.64,3.92,07/02/2026
251,who.int,Social,US,65535744,51.45,253.27,8.2,07/02/2026
252,ttvnw.net,Finance,IN,50730322,55.85,349.69,10.44,07/02/2026
253,nr-data.net,Tech,BR,54739877,32.85,524.16,26.59,07/02/2026
254,booking.com,Finance,JP,62176821,48.45,236.29,8.13,07/02/2026
255,yandex.com,E-commerce,US,64515754,49.86,525.4,17.56,07/02/2026
256,cdngslb.com,Search,GB,71204862,43.65,147.11,5.62,07/02/2026
257,omtrdc.net,Streaming,BR,70480487,17.68,908.58,85.65,07/02/2026
258,samsungqbe.com,Finance,DE,71057151,59.72,531.34,14.83,07/02/2026
259,hp.com,Search,BR,73104756,47.66,94.67,3.31,07/02/2026
260,stripe.com,News,IN,51877374,48.1,508.72,17.63,07/02/2026
261,doubleverify.com,Finance,BR,62537703,58.81,284.52,8.06,07/02/2026
262,inmobi.com,Streaming,US,66738160,28.37,1624.12,95.41,07/02/2026
263,harvard.edu,Social,DE,70613131,44.62,333.84,12.47,07/02/2026
264,launchpad.net,Streaming,JP,68257088,28.65,2159.2,125.61,07/02/2026
265,dns-parking.com,E-commerce,US,58914380,52.07,480.94,15.39,07/02/2026
266,moe.video,Finance,BR,66279965,55.11,176.86,5.35,07/02/2026
267,mozilla.com,News,DE,56842393,34.79,298.68,14.31,07/02/2026
268,openai.com,E-commerce,US,68568956,44.33,560.53,21.07,07/02/2026
269,drom.ru,E-commerce,JP,68414402,30.3,386.06,21.24,07/02/2026
270,wikimedia.org,Search,BR,70186991,37.78,114.07,5.03,07/02/2026
271,hichina.com,Streaming,JP,55212456,25.74,2321.6,150.32,07/02/2026
272,tinyurl.com,Tech,BR,51678197,35.78,568.74,26.49,07/02/2026
273,shalltry.com,E-commerce,JP,57078111,39.47,467.06,19.72,07/02/2026
274,samsungcloud.com,Finance,BR,61579685,36.79,263.32,11.93,07/02/2026
275,appsflyer.com,Finance,US,59443928,45.17,237.3,8.76,07/02/2026
276,media-amazon.com,Search,BR,63281813,36.52,174,7.94,07/02/2026
277,fastly-edge.com,Finance,IN,57559716,32.43,160.48,8.25,07/02/2026
278,mtgglobals.com,Social,US,52775882,51.57,136.54,4.41,07/02/2026
279,ea.com,News,US,64717315,48.06,413.51,14.34,07/02/2026
280,openx.net,Streaming,US,66101231,16.19,1878.3,193.36,07/02/2026
281,ok.ru,Finance,BR,50681785,41.94,224.59,8.93,07/02/2026
282,mikrotik.com,Tech,GB,51323857,36.43,550.56,25.19,07/02/2026
283,mzstatic.com,E-commerce,IN,69087727,34.62,586.45,28.23,07/02/2026
284,grammarly.com,E-commerce,GB,67616177,42.36,214.99,8.46,07/02/2026
285,googleblog.com,Social,DE,48727553,48.19,374.71,12.96,07/02/2026
286,heytapmobile.com,Streaming,US,58393608,26.02,1740.04,111.46,07/02/2026
287,dnsmadeeasy.com,Search,DE,59687789,44.89,170.93,6.35,07/02/2026
288,amazon.co.uk,E-commerce,IN,54674561,45.79,468.82,17.06,07/02/2026
289,reuters.com,Streaming,IN,49286255,19.84,2290.88,192.45,07/02/2026
290,springer.com,Streaming,JP,66849064,21.47,624.49,48.48,07/02/2026
291,dropcatch.com,Social,US,53068912,47.88,494.15,17.2,07/02/2026
292,alibaba.com,E-commerce,US,52357194,44.07,226.54,8.57,07/02/2026
293,www.gov.uk,Tech,IN,61636536,39.2,150.57,6.4,07/02/2026
294,byteoversea.net,Streaming,BR,62200552,15.08,1283.34,141.84,07/02/2026
295,etsy.com,Finance,US,66324160,33.25,291.37,14.61,07/02/2026
296,ibm.com,Search,JP,47848012,49.92,72.55,2.42,07/02/2026
297,ampproject.org,Social,BR,61380008,32.14,441.99,22.92,07/02/2026
298,3lift.com,Streaming,GB,55781192,19.17,1722.59,149.76,07/02/2026
299,steampowered.com,E-commerce,GB,59135745,48.98,217.89,7.41,07/02/2026
300,launchdarkly.com,Social,JP,67163943,38.55,351.59,15.2,07/02/2026
301,media.net,News,JP,51953468,52.14,558.56,17.85,07/02/2026
302,jsdelivr.net,Tech,BR,57630198,39.93,233.04,9.73,07/02/2026
303,autodesk.com,Tech,JP,58374396,31.43,285.76,15.15,07/02/2026
304,php.net,Social,JP,67423407,52.8,334.21,10.55,07/02/2026
305,bilibili.com,News,GB,60243153,37.66,394.06,17.44,07/02/2026
306,forter.com,E-commerce,GB,66634877,32.53,309.39,15.85,07/02/2026
307,ivi.ru,Social,GB,46747324,45.53,406.14,14.87,07/02/2026
308,capcutapi.com,Social,JP,48052952,51.09,153.05,4.99,07/02/2026
309,tradingview.com,News,US,60555632,39.91,142.45,5.95,07/02/2026
310,weebly.com,E-commerce,US,61028267,47.86,230.68,8.03,07/02/2026
311,kaspersky-labs.com,Search,US,53267501,46.72,61.11,2.18,07/02/2026
312,ezvizlife.com,News,GB,51453972,35.69,594.11,27.74,07/02/2026
313,kwai-pro.com,E-commerce,US,61822564,56.64,542.03,15.95,07/02/2026
314,slack.com,Tech,GB,62294532,52.86,528.39,16.66,07/02/2026
315,nature.com,Tech,IN,55942493,52.92,263.3,8.29,07/02/2026
316,name-services.com,Streaming,DE,48055560,23.77,1548.98,108.61,07/02/2026
317,wiley.com,News,BR,53563377,56.29,125.03,3.7,07/02/2026
318,debian.org,Social,IN,59387882,42.35,258.61,10.18,07/02/2026
319,issuu.com,Finance,DE,54241153,44.16,284.41,10.73,07/02/2026
320,crashlytics.com,Search,DE,61281508,43.69,106.17,4.05,07/02/2026
321,cloudflareinsights.com,News,IN,66892688,59.59,510.4,14.28,07/02/2026
322,alidns.com,News,US,54386261,48.95,442.88,15.08,07/02/2026
323,opendns.com,Streaming,JP,48691617,29.24,1165.12,66.41,07/02/2026
324,douyincdn.com,Streaming,IN,53480492,27.81,2078.93,124.59,07/02/2026
325,adriver.ru,Streaming,BR,64424981,19.56,2282.44,194.48,07/02/2026
326,smartadserver.com,E-commerce,DE,62685106,53.01,226.75,7.13,07/02/2026
327,whecloud.com,News,DE,66214806,38.72,545.5,23.48,07/02/2026
328,weibo.com,Finance,BR,49299881,45.89,474.38,17.23,07/02/2026
329,washingtonpost.com,Streaming,DE,50990869,22.38,1475.72,109.9,07/02/2026
330,vedsalb.com,Search,DE,60836729,49.39,70.25,2.37,07/02/2026
331,checkpoint.com,Search,JP,48105270,37.58,114.03,5.06,07/02/2026
332,clarity.ms,Finance,BR,55751014,56.57,323.49,9.53,07/02/2026
333,cdc.gov,Search,BR,57199981,40.56,75.5,3.1,07/02/2026
334,wyzecam.com,News,JP,49450659,30.67,585.95,31.84,07/02/2026
335,akamaihd.net,Streaming,US,54223967,18.02,1449.16,134.03,07/02/2026
336,tiktokv.us,Tech,BR,57327763,56.24,366.07,10.85,07/02/2026
337,wsj.com,Streaming,IN,58397144,20.9,1614.94,128.78,07/02/2026
338,myshopify.com,Social,BR,55656649,45.6,137.77,5.04,07/02/2026
339,inner-active.mobi,Search,JP,56173590,43.48,80.68,3.09,07/02/2026
340,mi.com,Social,GB,58099623,32.92,352.68,17.86,07/02/2026
341,naver.com,E-commerce,IN,64363276,36.31,525.75,24.13,07/02/2026
342,gnu.org,Search,DE,58121828,38.84,80.55,3.46,07/02/2026
343,bamgrid.com,Search,IN,47339109,45.98,171.23,6.21,07/02/2026
344,un.org,Streaming,JP,47054183,26.06,1053.38,67.37,07/02/2026
345,allawnos.com,Search,GB,49070889,37.58,116.54,5.17,07/02/2026
346,dailymail.co.uk,Tech,GB,46747987,36.38,568.82,26.06,07/02/2026
347,wbx2.com,Streaming,IN,43150388,29.87,1574.17,87.83,07/02/2026
348,cdnbuild.net,News,IN,47756975,52.7,283.86,8.98,07/02/2026
349,samsungcloudsolution.com,Tech,US,43720623,33.34,595.1,29.75,07/02/2026
350,ln-msedge.net,Search,JP,50060923,36.23,107.31,4.94,07/02/2026
351,live-video.net,Search,IN,44976197,40.4,145.89,6.02,07/02/2026
352,go.com,Search,JP,51664813,44.43,122.54,4.6,07/02/2026
353,sc-cdn.net,Tech,JP,53115376,45.03,532.3,19.7,07/02/2026
354,bloomberg.com,Search,GB,56581953,36.16,103.3,4.76,07/02/2026
355,xboxlive.com,Streaming,GB,49554473,24.88,2084.12,139.61,07/02/2026
356,vk.ru,Social,DE,62536236,47.19,126.4,4.46,07/02/2026
357,myhuaweicloud.com,E-commerce,US,58407221,42.98,228.43,8.86,07/02/2026
